pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FC,2022-10-05,92.3,-2.6,5.67,"Ohtani, Shohei",519390,660271,,foul,,,,,5.0,Stephen Vogt walks.,R,L,R,OAK,LAA,S,,,3,1,2022,0.08,0.48,-0.12,2.29,,,,1,5,Bot,,,,,,,6.200919938490007,-134.43359548585502,-3.9508872591941873,-0.2212151812477793,24.87775117112955,-25.73854195896146,3.14,1.5,236.0,74.7,32.0,93.9,2266.0,6.8,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.67,,,,,,,,33,5,Cutter,0,0,0,0,0,0,0,0,Infield shift,Standard,186.0,0.0,-0.078,,,,0.078,88.0,0,0,0.536,0.536,27,37,28,38,2,1,6.0,1.0,,,2.16,-0.08,0.08,33.2
FC,2022-10-05,89.4,-2.35,5.82,"Ohtani, Shohei",519390,660271,,foul,,,,,9.0,Stephen Vogt walks.,R,L,R,OAK,LAA,S,,,3,0,2022,0.27,0.43,0.72,1.88,,,,1,5,Bot,,,,,,,7.058510142708575,-130.12806860623596,-4.685608463808005,1.7583213904775368,24.44242578380863,-26.583483435443952,3.14,1.5,183.0,100.3,12.0,90.5,2147.0,6.7,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.8,,,,,,,,33,4,Cutter,0,0,0,0,0,0,0,0,Infield shift,Standard,171.0,0.0,-0.082,,,,0.082,100.3,0,0,0.536,0.536,27,37,28,38,2,1,6.0,1.0,,,2.4,-0.27,0.27,34.6
FC,2022-10-05,90.4,-2.54,5.71,"Ohtani, Shohei",519390,660271,,ball,,,,,14.0,Stephen Vogt walks.,R,L,R,OAK,LAA,B,,,2,0,2022,0.2,0.45,1.59,0.62,,,,1,5,Bot,,,,,,,9.95005952071608,-131.31913496431113,-7.845071144460386,0.5860994467651015,23.84308075423076,-25.57746156129088,3.13,1.55,,,,91.8,2318.0,6.9,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.6,,,,,,,,33,3,Cutter,0,0,0,0,0,0,0,0,Infield shift,Standard,174.0,0.0,0.135,,,,-0.135,,0,0,0.536,0.536,27,37,28,38,2,1,6.0,1.0,,,2.32,-0.2,0.2,32.7
ST,2022-10-05,85.9,-2.6,5.77,"Ohtani, Shohei",519390,660271,,ball,,,,,11.0,Stephen Vogt walks.,R,L,R,OAK,LAA,B,,,1,0,2022,0.78,0.73,-1.57,2.8,,,,1,5,Bot,,,,,,,0.8821239907981013,-125.18863769845449,-2.3087476748427043,8.019209408025509,24.03557906009951,-24.23265807535191,3.05,1.45,,,,86.7,2292.0,6.6,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.91,,,,,,,,33,2,Sweeper,0,0,0,0,0,0,0,0,Infield shift,Standard,82.0,0.0,0.07,,,,-0.07,,0,0,0.536,0.536,27,37,28,38,2,1,6.0,1.0,,,2.34,-0.78,0.78,34.1
CU,2022-10-05,69.8,-1.92,6.43,"Ohtani, Shohei",519390,660271,,ball,,,,,13.0,Stephen Vogt walks.,R,L,R,OAK,LAA,B,,,0,0,2022,0.76,-1.49,-0.08,0.32,,,,1,5,Bot,,,,,,,2.301090970786864,-101.46695432111818,-1.408694156591718,4.692935476255866,20.38083455198949,-42.27704083751496,3.09,1.43,,,,69.3,2321.0,6.5,662421,545358,622110,664058,650859,670869,666176,545361,621493,54.0,,,,,,,,33,1,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,31.0,0.0,0.036,,,,-0.036,,0,0,0.536,0.536,27,37,28,38,2,1,6.0,1.0,,,6.27,-0.76,0.76,50.2
SL,2022-10-05,88.3,-1.97,6.36,"Ohtani, Shohei",672478,660271,strikeout,foul_tip,,,,,8.0,Jordan Diaz strikes out on a foul tip.,R,R,R,OAK,LAA,S,2.0,,1,2,2022,0.38,-0.18,-0.15,1.82,,,,0,5,Bot,,,,,,,3.674859396558314,-128.57493628323112,-4.66802036582026,3.48910646292203,25.12762158502697,-33.46328541523174,3.3,1.5,,,,89.1,2450.0,6.6,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.89,,0.0,0.0,1.0,0.0,0.0,,32,7,Slider,0,0,0,0,0,0,0,0,Standard,Standard,59.0,-0.029,-0.176,,,,0.176,,0,0,0.565,0.565,27,21,28,22,2,1,6.0,2.0,,,3.09,-0.38,-0.38,44.8
FF,2022-10-05,99.3,-2.18,6.0,"Ohtani, Shohei",672478,660271,,foul,,,,,1.0,Jordan Diaz strikes out on a foul tip.,R,R,R,OAK,LAA,S,,,1,2,2022,-0.28,1.22,-0.46,3.27,,,,0,5,Bot,,,,,,,5.387985191279087,-144.56060216381093,-4.987269473583826,-5.041660015554277,30.925285092569755,-14.138184679922242,3.3,1.5,258.0,80.3,39.0,100.4,2079.0,6.7,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.83,,,,,,,,32,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,203.0,0.0,0.0,,,,0.0,88.0,0,0,0.565,0.565,27,21,28,22,2,1,6.0,2.0,,,1.08,0.28,0.28,41.3
ST,2022-10-05,86.9,-2.51,5.61,"Ohtani, Shohei",672478,660271,,foul,,,,,6.0,Jordan Diaz strikes out on a foul tip.,R,R,R,OAK,LAA,S,,,1,2,2022,1.35,0.52,0.74,2.2,,,,0,5,Bot,,,,,,,5.04862163165505,-126.4332753034809,-3.041805233022949,13.364625706864809,26.811921725122467,-26.143439013788456,3.3,1.5,175.0,65.9,40.0,87.5,2600.0,6.7,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.76,,,,,,,,32,5,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,63.0,0.0,0.0,,,,0.0,88.0,0,0,0.565,0.565,27,21,28,22,2,1,6.0,2.0,,,2.51,-1.35,-1.35,28.6
FS,2022-10-05,87.8,-1.95,6.26,"Ohtani, Shohei",672478,660271,,foul,,,,,8.0,Jordan Diaz strikes out on a foul tip.,R,R,R,OAK,LAA,S,,,1,2,2022,-0.41,0.09,-0.13,1.97,,,,0,5,Bot,,,,,,,5.323141537913208,-127.80942805695528,-4.544242557210236,-5.534782316949219,25.32461317115191,-30.478632664904843,3.3,1.5,3.0,77.6,-38.0,89.0,1247.0,6.9,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.6,,,,,,,,32,4,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,243.0,0.0,0.0,,,,0.0,88.0,0,0,0.565,0.565,27,21,28,22,2,1,6.0,2.0,,,2.86,0.41,0.41,46.3
SI,2022-10-05,94.1,-2.31,5.79,"Ohtani, Shohei",672478,660271,,foul,,,,,4.0,Jordan Diaz strikes out on a foul tip.,R,R,R,OAK,LAA,S,,,1,1,2022,-1.76,0.42,-0.46,2.2,,,,0,5,Bot,,,,,,,8.808209831563275,-136.6536259531249,-4.510766768588903,-24.067067094706054,32.40853187300116,-26.04093792246116,3.3,1.5,,,,94.6,1952.0,6.9,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.64,,,,,,,,32,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,221.0,0.0,-0.06,,,,0.06,,0,0,0.565,0.565,27,21,28,22,2,1,6.0,2.0,,,2.18,1.76,1.76,35.8
ST,2022-10-05,83.3,-2.47,5.81,"Ohtani, Shohei",672478,660271,,foul,,,,,5.0,Jordan Diaz strikes out on a foul tip.,R,R,R,OAK,LAA,S,,,1,0,2022,0.82,0.39,-0.14,2.66,,,,0,5,Bot,,,,,,,3.7551350482901498,-121.24751237433404,-1.4910815787677287,7.215798176380155,26.060363116576823,-28.275484879117208,3.3,1.5,115.0,70.9,6.0,83.5,2369.0,6.6,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.9,,,,,,,,32,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,65.0,0.0,-0.048,,,,0.048,88.0,0,0,0.565,0.565,27,21,28,22,2,1,6.0,2.0,,,2.92,-0.82,-0.82,35.1
ST,2022-10-05,83.6,-2.47,5.79,"Ohtani, Shohei",672478,660271,,ball,,,,,13.0,Jordan Diaz strikes out on a foul tip.,R,R,R,OAK,LAA,B,,,0,0,2022,0.74,0.06,-0.16,0.92,,,,0,5,Bot,,,,,,,3.888280918569901,-121.54507027095504,-4.8735253564961045,6.480936637034877,25.964389921661773,-30.72147578270176,3.34,1.58,,,,83.8,2304.0,6.7,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.84,,,,,,,,32,1,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,70.0,0.0,0.037,,,,-0.037,,0,0,0.565,0.565,27,21,28,22,2,1,6.0,2.0,,,3.23,-0.74,-0.74,33.6
FF,2022-10-05,99.6,-2.15,5.95,"Ohtani, Shohei",664913,660271,field_out,hit_into_play,,,,,5.0,"Seth Brown grounds out, shortstop Livan Soto to first baseman Matt Duffy.",R,L,R,OAK,LAA,X,6.0,ground_ball,1,0,2022,-0.7,0.87,-0.13,2.69,,,,2,4,Bot,139.53,150.13,,,,,7.254642536058494,-144.76211510607806,-5.57874692191657,-11.545214134796312,35.929965594818576,-18.84230790172619,3.51,1.73,11.0,96.8,-12.0,100.2,2169.0,6.8,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.68,0.217,0.214,0.0,1.0,0.0,0.0,2.0,27,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,209.0,-0.013,-0.296,,,0.255,0.296,96.8,0,0,0.513,0.513,27,29,28,30,2,1,6.0,1.0,,,1.45,0.7,-0.7,38.1
CU,2022-10-05,68.4,-1.77,6.47,"Ohtani, Shohei",664913,660271,,ball,,,,,14.0,"Seth Brown grounds out, shortstop Livan Soto to first baseman Matt Duffy.",R,L,R,OAK,LAA,B,,,0,0,2022,0.97,-1.35,1.71,1.35,,,,2,4,Bot,,,,,,,5.0047788030483975,-99.3851057380677,0.5618983126451498,5.419640902782164,18.627007404366253,-41.38172123097964,3.43,1.66,,,,68.1,2280.0,6.5,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.96,,,,,,,,27,1,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,29.0,0.0,0.04,,,,-0.04,,0,0,0.513,0.513,27,29,28,30,2,1,6.0,1.0,,,6.31,-0.97,0.97,53.4
SI,2022-10-05,96.9,-2.45,5.69,"Ohtani, Shohei",669221,660271,field_out,hit_into_play,,,,,4.0,"Sean Murphy grounds out, second baseman David Fletcher to first baseman Matt Duffy.",R,R,R,OAK,LAA,X,4.0,ground_ball,1,1,2022,-1.11,0.36,-0.78,2.77,,,,1,4,Bot,143.08,155.72,,,,,7.079538745739408,-140.9517204266293,-3.141818950483677,-16.434719237185874,30.204951890290737,-26.83467554802447,3.51,1.7,24.0,79.3,-4.0,98.0,1882.0,6.8,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.68,0.126,0.102,0.0,1.0,0.0,0.0,2.0,26,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,219.0,-0.019,-0.234,,,0.141,0.234,88.0,0,0,0.532,0.532,27,27,28,28,2,1,6.0,1.0,,,2.06,1.11,1.11,35.3
SI,2022-10-05,95.8,-2.33,5.77,"Ohtani, Shohei",669221,660271,,foul_tip,,,,,1.0,"Sean Murphy grounds out, second baseman David Fletcher to first baseman Matt Duffy.",R,R,R,OAK,LAA,S,,,1,0,2022,-1.21,0.26,-0.67,3.07,,,,1,4,Bot,,,,,,,7.187417617805871,-139.4543066666546,-2.184378165457528,-17.366806030038326,29.271248567636636,-28.43719782091682,3.51,1.7,,,,97.0,1792.0,6.8,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.69,,,,,,,,26,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,216.0,0.0,-0.049,,,,0.049,,0,0,0.532,0.532,27,27,28,28,2,1,6.0,1.0,,,2.2,1.21,1.21,34.8
SI,2022-10-05,98.3,-2.24,5.84,"Ohtani, Shohei",669221,660271,,ball,,,,,13.0,"Sean Murphy grounds out, second baseman David Fletcher to first baseman Matt Duffy.",R,R,R,OAK,LAA,B,,,0,0,2022,-1.31,0.42,-0.27,1.17,,,,1,4,Bot,,,,,,,8.454200103051352,-142.90501126270905,-8.306310641023432,-19.77258365473818,28.888859815981395,-24.843188997462946,3.59,1.66,,,,99.8,1831.0,6.9,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.62,,,,,,,,26,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,218.0,0.0,0.036,,,,-0.036,,0,0,0.532,0.532,27,27,28,28,2,1,6.0,1.0,,,1.92,1.31,1.31,36.2
SL,2022-10-05,86.4,-2.06,6.29,"Ohtani, Shohei",643393,660271,field_out,hit_into_play,,,,,7.0,Tony Kemp lines out to left fielder Jo Adell.,R,L,R,OAK,LAA,X,7.0,line_drive,1,2,2022,0.41,-0.2,-0.76,1.78,,,,0,4,Bot,52.64,90.68,,,,,2.2705802686060745,-125.7840107811755,-4.13768274481807,3.8946553257942353,25.71272206057428,-33.70142774509364,3.25,1.52,323.0,94.5,24.0,86.8,2374.0,6.5,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.97,0.171,0.209,0.0,1.0,0.0,0.0,5.0,25,4,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,68.0,-0.027,-0.176,,,0.35,0.176,94.5,0,0,0.559,0.559,27,30,28,31,2,1,6.0,1.0,,,3.26,-0.41,0.41,46.2
FC,2022-10-05,90.6,-2.51,5.76,"Ohtani, Shohei",643393,660271,,foul,,,,,9.0,Tony Kemp lines out to left fielder Jo Adell.,R,L,R,OAK,LAA,S,,,1,1,2022,0.35,0.44,0.61,1.7,,,,0,4,Bot,,,,,,,7.097730162759824,-131.85037478017097,-5.211835737342562,2.731184883518125,26.372204251176328,-26.20381851338579,3.25,1.52,3.0,90.7,-30.0,91.6,2422.0,6.8,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.73,,,,,,,,25,3,Cutter,0,0,0,0,0,0,0,0,Infield shift,Standard,115.0,0.0,-0.06,,,,0.06,90.7,0,0,0.559,0.559,27,30,28,31,2,1,6.0,1.0,,,2.33,-0.35,0.35,33.3
FC,2022-10-05,87.3,-2.43,5.93,"Ohtani, Shohei",643393,660271,,foul,,,,,9.0,Tony Kemp lines out to left fielder Jo Adell.,R,L,R,OAK,LAA,S,,,1,0,2022,0.2,0.31,0.7,1.76,,,,0,4,Bot,,,,,,,7.166402344006992,-126.973369850621,-4.570298329185755,0.7903368525573744,25.2565673300457,-28.03415160168662,3.25,1.52,7.0,86.5,-15.0,88.0,2153.0,6.7,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.81,,,,,,,,25,2,Cutter,0,0,0,0,0,0,0,0,Infield shift,Standard,150.0,0.0,-0.048,,,,0.048,88.0,0,0,0.559,0.559,27,30,28,31,2,1,6.0,1.0,,,2.67,-0.2,0.2,37.7
CU,2022-10-05,73.0,-1.72,6.51,"Ohtani, Shohei",643393,660271,,ball,,,,,12.0,Tony Kemp lines out to left fielder Jo Adell.,R,L,R,OAK,LAA,B,,,0,0,2022,0.73,-0.85,0.99,2.88,,,,0,4,Bot,,,,,,,4.234947561798797,-106.20101965012528,1.5489426099067982,4.76006524067927,18.412897699747734,-39.066805249478826,3.28,1.52,,,,73.3,2263.0,6.5,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.97,,,,,,,,25,1,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard,44.0,0.0,0.037,,,,-0.037,,0,0,0.559,0.559,27,30,28,31,2,1,6.0,1.0,,,5.13,-0.73,0.73,54.3
ST,2022-10-05,82.3,-2.67,5.61,"Ohtani, Shohei",669397,660271,field_out,hit_into_play,,,,,4.0,Nick Allen pops out to second baseman David Fletcher.,R,R,R,OAK,LAA,X,4.0,popup,1,0,2022,1.04,0.66,-0.38,2.07,,,,2,3,Bot,134.45,167.42,,,,,3.20797980958534,-119.82738353225164,-2.8109165394937357,9.339322585004114,23.506947868850133,-25.5049068702207,3.01,1.42,85.0,76.8,72.0,83.0,2466.0,6.7,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.76,0.003,0.003,0.0,1.0,0.0,0.0,3.0,21,2,Sweeper,0,0,0,0,0,0,0,0,Standard,Standard,65.0,-0.012,-0.296,,,0.003,0.296,88.0,0,0,0.512,0.512,27,23,28,24,1,0,6.0,1.0,,,2.71,-1.04,-1.04,31.1
SI,2022-10-05,95.0,-2.2,5.85,"Ohtani, Shohei",669397,660271,,ball,,,,,14.0,Nick Allen pops out to second baseman David Fletcher.,R,R,R,OAK,LAA,B,,,0,0,2022,-1.35,0.45,1.51,1.5,,,,2,3,Bot,,,,,,,12.815231988299438,-137.70027001198451,-6.790215429544377,-19.929130151850117,28.1161657031337,-25.1084117617036,3.1,1.42,,,,95.9,1987.0,6.8,662421,545358,622110,664058,650859,670869,666176,545361,621493,53.67,,,,,,,,21,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,215.0,0.0,0.04,,,,-0.04,,0,0,0.512,0.512,27,23,28,24,1,0,6.0,1.0,,,2.08,1.35,1.35,38.6
